Date,Open,High,Low,Close,Volume
09/04/2019,2886.58,2886.88,2873.33,2878.20,3007.98
10/04/2019,2881.37,2889.71,2879.13,2888.21,3062.38
11/04/2019,2891.92,2893.42,2881.99,2888.32,2938.54
12/04/2019,2900.86,2910.54,2898.37,2907.41,3688.49
15/04/2019,2908.32,2909.60,2896.48,2905.58,3088.33
16/04/2019,2912.26,2916.06,2900.71,2907.06,3402.21
17/04/2019,2916.04,2918.00,2895.45,2900.45,3602.30
18/04/2019,2904.81,2908.40,2891.90,2905.03,3506.85
22/04/2019,2898.78,2909.51,2896.35,2907.97,2997.95
23/04/2019,2909.99,2936.31,2908.53,2933.68,3635.03
24/04/2019,2934.00,2936.83,2926.05,2927.25,3448.96
25/04/2019,2928.99,2933.10,2912.84,2926.17,3425.28
26/04/2019,2925.81,2939.88,2917.56,2939.88,3248.50
29/04/2019,2940.58,2949.52,2939.35,2943.03,3118.78
30/04/2019,2937.14,2948.22,2924.11,2945.83,3919.33
01/05/2019,2952.33,2954.13,2923.36,2923.73,3645.85
02/05/2019,2922.16,2931.68,2900.50,2917.52,3778.89
03/05/2019,2929.21,2947.85,2929.21,2945.64,3338.12
06/05/2019,2908.89,2937.32,2898.21,2932.47,3181.52
07/05/2019,2913.03,2913.03,2862.60,2884.05,3767.10
08/05/2019,2879.61,2897.96,2873.28,2879.42,3485.79
09/05/2019,2859.84,2875.97,2836.40,2870.72,3638.82
10/05/2019,2863.10,2891.31,2825.39,2881.40,3529.60
13/05/2019,2840.19,2840.19,2801.43,2811.87,3894.03
14/05/2019,2820.12,2852.54,2820.12,2834.41,3322.72
15/05/2019,2820.38,2858.68,2815.08,2850.96,3125.95
16/05/2019,2855.80,2892.15,2855.80,2876.32,3338.06
17/05/2019,2858.60,2885.48,2854.23,2859.53,3257.95
20/05/2019,2841.94,2853.86,2831.29,2840.23,3288.87
21/05/2019,2854.02,2868.88,2854.02,2864.36,3218.70
22/05/2019,2856.06,2865.47,2851.11,2856.27,3192.51
23/05/2019,2836.70,2836.70,2805.49,2822.24,3891.98
24/05/2019,2832.41,2841.36,2820.19,2826.06,2887.39
28/05/2019,2830.03,2840.51,2801.58,2802.39,4121.41
29/05/2019,2790.25,2792.03,2766.06,2783.02,3700.05
30/05/2019,2786.94,2799.00,2776.74,2788.86,3273.79
31/05/2019,2766.15,2768.98,2750.52,2752.06,3981.02
03/06/2019,2751.53,2763.07,2728.81,2744.45,3966.70
04/06/2019,2762.64,2804.49,2762.64,2803.27,3810.43
05/06/2019,2818.09,2827.28,2800.92,2826.15,3548.83
06/06/2019,2828.51,2852.10,2822.45,2843.49,3396.41
07/06/2019,2852.87,2884.97,2852.87,2873.34,3220.25
10/06/2019,2885.83,2904.77,2885.51,2886.73,3209.21
11/06/2019,2903.27,2910.61,2878.53,2885.72,3548.42
12/06/2019,2882.73,2888.57,2874.68,2879.84,3034.13
13/06/2019,2886.24,2895.24,2881.99,2891.64,3069.81
14/06/2019,2886.82,2894.45,2879.62,2886.98,2922.33
17/06/2019,2889.75,2897.27,2887.30,2889.67,2810.14
18/06/2019,2906.71,2930.79,2905.44,2917.75,3437.62
19/06/2019,2920.55,2931.74,2911.43,2926.46,3287.89
20/06/2019,2949.60,2958.06,2931.50,2954.18,3905.94
21/06/2019,2952.71,2964.15,2946.87,2950.46,5000.12
24/06/2019,2951.42,2954.92,2944.05,2945.35,3136.25
25/06/2019,2945.78,2946.52,2916.01,2917.38,3578.05
26/06/2019,2926.07,2932.59,2912.99,2913.78,3478.13
27/06/2019,2919.66,2929.30,2918.57,2924.92,3122.92
28/06/2019,2932.94,2943.98,2929.05,2941.76,5420.70
01/07/2019,2971.41,2977.93,2952.22,2964.33,3513.27
02/07/2019,2964.66,2973.21,2955.92,2973.01,3206.84
03/07/2019,2978.08,2995.84,2977.96,2995.82,1963.72
05/07/2019,2984.25,2994.03,2967.97,2990.41,2434.21
08/07/2019,2979.77,2980.76,2970.09,2975.95,2904.55
09/07/2019,2965.52,2981.90,2963.44,2979.63,3028.21
10/07/2019,2989.30,3002.98,2984.62,2993.07,3154.24
11/07/2019,2999.62,3002.33,2988.80,2999.91,3154.62
12/07/2019,3003.36,3013.92,3001.87,3013.77,2974.96
15/07/2019,3017.80,3017.80,3008.77,3014.30,2874.97
16/07/2019,3012.13,3015.02,3001.15,3004.04,3290.65
17/07/2019,3005.10,3005.26,2984.25,2984.42,3181.60
18/07/2019,2978.87,2998.28,2973.09,2995.11,3296.58
19/07/2019,3004.26,3006.02,2975.86,2976.61,3260.36
